V1	V(Vd)*I(R1)
Step Information: Rap=1  (Step: 1/11)
3.000000000000007e-01	6.130886e-21
4.000000000000004e-01	6.130913e-21
5.000000000000000e-01	6.131086e-21
6.000000000000005e-01	6.132321e-21
7.000000000000002e-01	6.141505e-21
8.000000000000007e-01	6.209522e-21
9.000000000000004e-01	6.723757e-21
1.000000000000000e+00	1.115745e-20
1.100000000000001e+00	7.853038e-20
1.200000000000000e+00	2.466079e-18
1.300000000000001e+00	1.232769e-16
1.400000000000000e+00	6.647821e-15
1.500000000000000e+00	3.622026e-13
1.600000000000001e+00	1.974837e-11
1.700000000000000e+00	1.074821e-09
1.800000000000001e+00	5.818628e-08
1.900000000000000e+00	3.104562e-06
2.000000000000000e+00	1.593201e-04
2.100000000000001e+00	7.383405e-03
2.200000000000000e+00	2.662958e-01
2.300000000000001e+00	5.669243e+00
2.400000000000000e+00	5.370566e+01
2.500000000000000e+00	2.218228e+02
2.600000000000001e+00	5.044333e+02
2.700000000000000e+00	8.062116e+02
2.800000000000001e+00	8.830762e+02
2.900000000000000e+00	8.865618e+02
3.000000000000000e+00	8.884643e+02
3.100000000000000e+00	8.897191e+02
3.200000000000001e+00	8.906253e+02
3.300000000000001e+00	8.913138e+02
3.400000000000000e+00	8.918587e+02
3.500000000000000e+00	8.923018e+02
3.600000000000000e+00	8.926698e+02
3.700000000000001e+00	8.929809e+02
3.800000000000001e+00	8.932473e+02
3.900000000000000e+00	8.934783e+02
4.000000000000000e+00	8.936807e+02
4.100000000000000e+00	8.938594e+02
4.200000000000001e+00	8.940184e+02
4.300000000000001e+00	8.941610e+02
4.400000000000000e+00	8.942894e+02
4.500000000000000e+00	8.944058e+02
4.600000000000001e+00	8.945118e+02
4.700000000000001e+00	8.946087e+02
4.800000000000001e+00	8.946977e+02
4.900000000000000e+00	8.947796e+02
5.000000000000000e+00	8.948554e+02
5.100000000000001e+00	8.949255e+02
5.200000000000001e+00	8.949908e+02
5.300000000000001e+00	8.950516e+02
5.400000000000000e+00	8.951085e+02
5.500000000000000e+00	8.951618e+02
5.600000000000001e+00	8.952118e+02
5.700000000000001e+00	8.952588e+02
5.800000000000001e+00	8.953030e+02
5.900000000000000e+00	8.953449e+02
6.000000000000000e+00	8.953844e+02
6.100000000000001e+00	8.954217e+02
6.200000000000001e+00	8.954572e+02
6.300000000000001e+00	8.954909e+02
6.400000000000000e+00	8.955228e+02
6.500000000000000e+00	8.955533e+02
6.600000000000001e+00	8.955823e+02
6.700000000000001e+00	8.956100e+02
6.800000000000001e+00	8.956365e+02
6.900000000000000e+00	8.956617e+02
7.000000000000000e+00	8.956861e+02
7.100000000000001e+00	8.957092e+02
7.200000000000001e+00	8.957315e+02
7.300000000000001e+00	8.957529e+02
7.400000000000000e+00	8.957733e+02
7.500000000000000e+00	8.957930e+02
7.600000000000001e+00	8.958120e+02
7.700000000000001e+00	8.958303e+02
7.800000000000001e+00	8.958478e+02
7.900000000000000e+00	8.958649e+02
8.000000000000000e+00	8.958812e+02
8.100000000000001e+00	8.958969e+02
8.200000000000001e+00	8.959122e+02
8.300000000000001e+00	8.959270e+02
8.400000000000000e+00	8.959412e+02
8.500000000000000e+00	8.959551e+02
8.600000000000001e+00	8.959684e+02
8.700000000000001e+00	8.959813e+02
8.800000000000001e+00	8.959939e+02
8.900000000000000e+00	8.960061e+02
9.000000000000000e+00	8.960179e+02
9.100000000000001e+00	8.960293e+02
9.200000000000001e+00	8.960404e+02
9.300000000000001e+00	8.960512e+02
9.400000000000000e+00	8.960617e+02
9.500000000000000e+00	8.960719e+02
9.600000000000001e+00	8.960818e+02
9.700000000000001e+00	8.960914e+02
9.800000000000001e+00	8.961009e+02
9.900000000000000e+00	8.961100e+02
1.000000000000000e+01	8.961189e+02
1.010000000000000e+01	8.961276e+02
1.020000000000000e+01	8.961361e+02
1.030000000000000e+01	8.961443e+02
1.040000000000000e+01	8.961523e+02
1.050000000000000e+01	8.961601e+02
1.060000000000000e+01	8.961678e+02
1.070000000000000e+01	8.961752e+02
1.080000000000000e+01	8.961825e+02
1.090000000000000e+01	8.961896e+02
1.100000000000000e+01	8.961966e+02
1.110000000000000e+01	8.962034e+02
1.120000000000000e+01	8.962101e+02
1.130000000000000e+01	8.962166e+02
1.140000000000000e+01	8.962230e+02
1.150000000000000e+01	8.962291e+02
1.160000000000000e+01	8.962352e+02
1.170000000000000e+01	8.962411e+02
1.180000000000000e+01	8.962469e+02
1.190000000000000e+01	8.962527e+02
1.200000000000000e+01	8.962582e+02
1.210000000000000e+01	8.962637e+02
1.220000000000000e+01	8.962691e+02
1.230000000000000e+01	8.962743e+02
1.240000000000000e+01	8.962795e+02
1.250000000000000e+01	8.962846e+02
1.260000000000000e+01	8.962895e+02
1.270000000000000e+01	8.962943e+02
1.280000000000000e+01	8.962991e+02
1.290000000000000e+01	8.963038e+02
1.300000000000000e+01	8.963084e+02
1.310000000000000e+01	8.963129e+02
1.320000000000000e+01	8.963173e+02
1.330000000000000e+01	8.963216e+02
1.340000000000000e+01	8.963260e+02
1.350000000000000e+01	8.963301e+02
1.360000000000000e+01	8.963342e+02
1.370000000000000e+01	8.963383e+02
1.380000000000000e+01	8.963422e+02
1.390000000000000e+01	8.963461e+02
1.400000000000000e+01	8.963500e+02
1.410000000000000e+01	8.963537e+02
1.420000000000000e+01	8.963574e+02
1.430000000000000e+01	8.963610e+02
1.440000000000000e+01	8.963647e+02
1.450000000000000e+01	8.963681e+02
1.460000000000000e+01	8.963717e+02
1.470000000000000e+01	8.963751e+02
1.480000000000000e+01	8.963784e+02
1.490000000000000e+01	8.963817e+02
1.500000000000000e+01	8.963849e+02
1.510000000000000e+01	8.963881e+02
1.520000000000000e+01	8.963913e+02
1.530000000000000e+01	8.963944e+02
1.540000000000000e+01	8.963975e+02
1.550000000000000e+01	8.964004e+02
1.560000000000000e+01	8.964034e+02
1.570000000000000e+01	8.964064e+02
1.580000000000000e+01	8.964092e+02
1.590000000000000e+01	8.964120e+02
1.600000000000000e+01	8.964148e+02
1.610000000000000e+01	8.964176e+02
1.620000000000000e+01	8.964203e+02
1.630000000000000e+01	8.964229e+02
1.640000000000000e+01	8.964256e+02
1.650000000000000e+01	8.964282e+02
1.660000000000000e+01	8.964307e+02
1.670000000000000e+01	8.964332e+02
1.680000000000000e+01	8.964357e+02
1.690000000000000e+01	8.964382e+02
1.700000000000000e+01	8.964406e+02
1.710000000000000e+01	8.964430e+02
1.720000000000000e+01	8.964453e+02
1.730000000000000e+01	8.964477e+02
1.740000000000000e+01	8.964500e+02
1.750000000000000e+01	8.964523e+02
1.760000000000000e+01	8.964545e+02
1.770000000000000e+01	8.964566e+02
1.780000000000000e+01	8.964589e+02
1.790000000000000e+01	8.964610e+02
1.800000000000000e+01	8.964631e+02
1.810000000000000e+01	8.964652e+02
1.820000000000000e+01	8.964672e+02
1.830000000000000e+01	8.964693e+02
1.840000000000000e+01	8.964714e+02
1.850000000000000e+01	8.964733e+02
1.860000000000000e+01	8.964754e+02
1.870000000000000e+01	8.964773e+02
1.880000000000000e+01	8.964791e+02
1.890000000000000e+01	8.964811e+02
1.900000000000000e+01	8.964829e+02
1.910000000000000e+01	8.964848e+02
1.920000000000000e+01	8.964867e+02
1.930000000000000e+01	8.964884e+02
1.940000000000000e+01	8.964902e+02
1.950000000000000e+01	8.964920e+02
1.960000000000000e+01	8.964937e+02
1.970000000000000e+01	8.964955e+02
1.980000000000000e+01	8.964972e+02
1.990000000000000e+01	8.964989e+02
2.000000000000000e+01	8.965005e+02
Step Information: Rap=6  (Step: 2/11)
-5.000000000000000e+00	3.678537e-20
-4.900000000000000e+00	3.678537e-20
-4.800000000000000e+00	3.678537e-20
-4.700000000000000e+00	3.678537e-20
-4.600000000000000e+00	3.678537e-20
-4.500000000000000e+00	3.678537e-20
-4.400000000000000e+00	3.678537e-20
-4.300000000000000e+00	3.678537e-20
-4.200000000000000e+00	3.678537e-20
-4.100000000000000e+00	3.678537e-20
-4.000000000000000e+00	3.678537e-20
-3.900000000000000e+00	3.678530e-20
-3.800000000000000e+00	3.678537e-20
-3.700000000000000e+00	3.678530e-20
-3.600000000000000e+00	3.678530e-20
-3.500000000000000e+00	3.678537e-20
-3.400000000000000e+00	3.678530e-20
-3.300000000000000e+00	3.678537e-20
-3.200000000000000e+00	3.678530e-20
-3.100000000000000e+00	3.678530e-20
-3.000000000000000e+00	3.678530e-20
-2.900000000000000e+00	3.678530e-20
-2.800000000000000e+00	3.678530e-20
-2.700000000000000e+00	3.678530e-20
-2.600000000000000e+00	3.678530e-20
-2.500000000000000e+00	3.678530e-20
-2.400000000000000e+00	3.678530e-20
-2.300000000000000e+00	3.678530e-20
-2.200000000000000e+00	3.678530e-20
-2.100000000000000e+00	3.678530e-20
-2.000000000000000e+00	3.678530e-20
-1.900000000000000e+00	3.678534e-20
-1.800000000000000e+00	3.678530e-20
-1.700000000000000e+00	3.678530e-20
-1.600000000000000e+00	3.678534e-20
-1.500000000000000e+00	3.678534e-20
-1.400000000000000e+00	3.678534e-20
-1.300000000000000e+00	3.678534e-20
-1.200000000000000e+00	3.678534e-20
-1.100000000000000e+00	3.678534e-20
-1.000000000000000e+00	3.678534e-20
-8.999999999999995e-01	3.678534e-20
-7.999999999999998e-01	3.678535e-20
-7.000000000000002e-01	3.678535e-20
-5.999999999999996e-01	3.678535e-20
-5.000000000000000e-01	3.678535e-20
-3.999999999999995e-01	3.678535e-20
