V1	I(V1)
Step Information: Rap=1  (Step: 1/10)
-5.000000000000000e+00	4.129532e+00
-4.000000000000000e+00	3.136645e+00
-3.000000000000000e+00	2.146456e+00
-2.000000000000000e+00	1.162322e+00
-1.000000000000000e+00	2.069561e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=2  (Step: 2/10)
-5.000000000000000e+00	2.073674e+00
-4.000000000000000e+00	1.577213e+00
-3.000000000000000e+00	1.082086e+00
-2.000000000000000e+00	5.899313e-01
-1.000000000000000e+00	1.114790e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=3  (Step: 3/10)
-5.000000000000000e+00	1.385924e+00
-4.000000000000000e+00	1.054943e+00
-3.000000000000000e+00	7.248451e-01
-2.000000000000000e+00	3.967086e-01
-1.000000000000000e+00	7.745843e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=4  (Step: 4/10)
-5.000000000000000e+00	1.041291e+00
-4.000000000000000e+00	7.930524e-01
-3.000000000000000e+00	5.454722e-01
-2.000000000000000e+00	2.993523e-01
-1.000000000000000e+00	5.977011e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=5  (Step: 5/10)
-5.000000000000000e+00	8.341804e-01
-4.000000000000000e+00	6.355869e-01
-3.000000000000000e+00	4.375186e-01
-2.000000000000000e+00	2.406118e-01
-1.000000000000000e+00	4.885881e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=6  (Step: 6/10)
-5.000000000000000e+00	6.959314e-01
-4.000000000000000e+00	5.304354e-01
-3.000000000000000e+00	3.653756e-01
-2.000000000000000e+00	2.012793e-01
-1.000000000000000e+00	4.142698e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=7  (Step: 7/10)
-5.000000000000000e+00	5.970787e-01
-4.000000000000000e+00	4.552239e-01
-3.000000000000000e+00	3.137420e-01
-2.000000000000000e+00	1.730827e-01
-1.000000000000000e+00	3.602509e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=8  (Step: 8/10)
-5.000000000000000e+00	5.228730e-01
-4.000000000000000e+00	3.987491e-01
-3.000000000000000e+00	2.749510e-01
-2.000000000000000e+00	1.518701e-01
-1.000000000000000e+00	3.191374e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=9  (Step: 9/10)
-5.000000000000000e+00	4.651124e-01
-4.000000000000000e+00	3.547795e-01
-3.000000000000000e+00	2.447354e-01
-2.000000000000000e+00	1.353271e-01
-1.000000000000000e+00	2.867528e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
Step Information: Rap=10  (Step: 10/10)
-5.000000000000000e+00	4.188720e-01
-4.000000000000000e+00	3.195719e-01
-3.000000000000000e+00	2.205313e-01
-2.000000000000000e+00	1.220612e-01
-1.000000000000000e+00	2.605555e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	-1.010000e-12
2.000000000000000e+00	-2.010000e-12
3.000000000000000e+00	-3.010000e-12
4.000000000000000e+00	-4.010000e-12
5.000000000000000e+00	-5.010000e-12
